Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Matisse Thybulle,PHI,33,W,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0
Isaiah Joe,PHI,33,W,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
Tyrese Maxey,PHI,33,W,1,2,0.5,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2
Tony Bradley,PHI,33,W,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Terrance Ferguson,PHI,33,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vincent Poirier,PHI,33,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Team Totals,PHI,33,W,39,90,0.433,12,29,0.414,21,25,0.84,8,31,39,26,11,6,7,19,111
Josh Richardson,MIL,33,L,5,11,0.455,0,4,0,3,3,1,1,5,6,0,0,0,2,0,13
Dorian Finney-Smith,MIL,33,L,2,7,0.286,2,4,0.5,0,0,0,1,4,5,1,1,0,1,4,6
Luka Doncic,MIL,33,L,6,13,0.462,3,6,0.5,4,6,0.667,0,3,3,4,0,3,7,2,19
Maxi Kleber,MIL,33,L,2,5,0.4,2,5,0.4,0,0,0,0,4,4,0,0,1,0,3,6
Boban Marjanovic,MIL,33,L,3,11,0.273,0,1,0,1,1,1,4,8,12,0,0,1,1,2,7
Jalen Brunson,MIL,33,L,3,5,0.6,2,3,0.667,3,4,0.75,0,5,5,1,1,0,2,2,11
Tim Hardaway,MIL,33,L,5,8,0.625,2,4,0.5,0,0,0,2,0,2,3,0,2,0,2,12
Willie Cauley-Stein,MIL,33,L,1,4,0.25,0,1,0,0,0,0,2,3,5,2,0,0,1,1,2
Trey Burke,MIL,33,L,3,6,0.5,1,3,0.333,2,2,1,0,1,1,2,0,0,0,1,9
James Johnson,MIL,33,L,1,5,0.2,1,3,0.333,0,0,0,0,5,5,3,0,2,1,2,3
