Starters,Team,Game,Win,FG,FGA,FGP,3P,3PA,3PP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Rayjon Tucker,PHI,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Reed,PHI,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,43,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,43,W,38,82,0.463,11,25,0.44,14,23,0.609,8,36,44,19,12,9,19,18,101
Reggie Bullock,NYK,43,L,2,5,0.4,2,3,0.667,0,0,0,0,4,4,3,2,0,2,3,6
Julius Randle,NYK,43,L,7,23,0.304,4,7,0.571,6,8,0.75,3,4,7,3,5,0,5,4,24
RJ Barrett,NYK,43,L,9,17,0.529,0,3,0,1,2,0.5,0,8,8,4,1,0,4,2,19
Nerlens Noel,NYK,43,L,5,6,0.833,0,0,0,3,5,0.6,5,5,10,0,2,1,2,4,13
Immanuel Quickley,NYK,43,L,4,12,0.333,2,6,0.333,0,2,0,0,3,3,0,0,0,1,0,10
Alec Burks,NYK,43,L,8,17,0.471,2,3,0.667,2,2,1,1,5,6,4,3,1,1,2,20
Frank Ntilikina,NYK,43,L,1,3,0.333,1,2,0.5,1,2,0.5,0,0,0,1,0,0,2,2,4
Mitchell Robinson,NYK,43,L,2,5,0.4,0,0,0,0,2,0,4,2,6,1,0,0,0,2,4
Obi Toppin,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Knox,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignas Brazdeikis,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo Pinson,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Harper,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taj Gibson,NYK,43,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,NYK,43,L,38,88,0.432,11,24,0.458,13,23,0.565,13,31,44,16,13,2,17,19,100
Tobias Harris,PHI,44,W,9,18,0.5,1,2,0.5,6,6,1,0,13,13,4,0,1,3,2,25
Ben Simmons,PHI,44,W,7,15,0.467,0,0,0,8,14,0.571,1,7,8,4,1,0,2,4,22
Tony Bradley,PHI,44,W,8,8,1,0,0,0,2,2,1,4,7,11,0,2,2,1,3,18
Danny Green,PHI,44,W,4,9,0.444,3,8,0.375,0,0,0,1,1,2,1,0,0,0,2,11
Furkan Korkmaz,PHI,44,W,4,8,0.5,2,6,0.333,2,4,0.5,1,0,1,1,0,0,0,1,12
Shake Milton,PHI,44,W,5,14,0.357,0,1,0,3,5,0.6,1,1,2,4,0,0,2,2,13
Matisse Thybulle,PHI,44,W,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,1,3,0
Dwight Howard,PHI,44,W,0,6,0,0,0,0,2,4,0.5,5,8,13,0,1,0,3,3,2
Mike Scott,PHI,44,W,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,1,3,0
Tyrese Maxey,PHI,44,W,2,3,0.667,1,2,0.5,0,0,0,0,1,1,0,0,0,0,1,5
Rayjon Tucker,PHI,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Reed,PHI,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,PHI,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Poirier,PHI,44,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,44,W,39,86,0.453,7,24,0.292,23,35,0.657,13,38,51,15,5,4,13,24,108
Jordan Poole,GSW,44,L,5,16,0.313,2,9,0.222,7,7,1,0,4,4,2,0,0,4,0,19
Kelly Oubre,GSW,44,L,8,14,0.571,2,4,0.5,6,9,0.667,3,7,10,3,0,1,0,3,24
Draymond Green,GSW,44,L,2,7,0.286,0,2,0,2,2,1,0,9,9,6,2,2,3,5,6
Andrew Wiggins,GSW,44,L,6,15,0.4,2,3,0.667,0,0,0,1,1,2,1,0,0,3,5,14
James Wiseman,GSW,44,L,5,13,0.385,0,1,0,1,2,0.5,0,4,4,2,0,1,0,3,11
Damion Lee,GSW,44,L,6,7,0.857,2,3,0.667,2,2,1,0,0,0,0,0,0,0,3,16
Nico Mannion,GSW,44,L,2,7,0.286,0,2,0,0,0,0,0,0,0,6,2,0,1,1,4
Kevon Looney,GSW,44,L,1,1,1,0,0,0,0,2,0,2,4,6,2,0,2,0,0,2
Kent Bazemore,GSW,44,L,1,3,0.333,0,1,0,0,2,0,0,3,3,0,1,1,0,3,2
Mychal Mulder,GSW,44,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad Wanamaker,GSW,44,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Paschall,GSW,44,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Toscano-Anderson,GSW,44,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Smailagic,GSW,44,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,GSW,44,L,36,83,0.434,8,25,0.32,18,26,0.692,6,32,38,22,5,7,11,23,98
Tobias Harris,PHI,45,W,8,10,0.8,0,1,0,1,1,1,0,6,6,5,2,1,2,3,17
Ben Simmons,PHI,45,W,1,7,0.143,0,1,0,7,11,0.636,2,5,7,12,2,1,7,5,9
Danny Green,PHI,45,W,9,14,0.643,8,12,0.667,2,2,1,1,4,5,0,1,2,1,5,28
Mike Scott,PHI,45,W,2,8,0.25,2,8,0.25,0,0,0,0,5,5,2,2,2,1,4,6
Seth Curry,PHI,45,W,7,13,0.538,4,8,0.5,1,1,1,0,1,1,2,0,0,2,1,19
Matisse Thybulle,PHI,45,W,1,6,0.167,0,5,0,0,0,0,1,6,7,1,4,0,1,2,2
Shake Milton,PHI,45,W,4,10,0.4,2,6,0.333,2,3,0.667,0,2,2,2,0,1,3,1,12
Furkan Korkmaz,PHI,45,W,2,5,0.4,1,2,0.5,1,2,0.5,0,1,1,0,1,0,1,1,6
Paul Reed,PHI,45,W,2,4,0.5,0,2,0,0,1,0,1,2,3,0,1,0,0,2,4
Dwight Howard,PHI,45,W,3,3,1,0,0,0,0,0,0,2,0,2,0,0,2,2,2,6
Tyrese Maxey,PHI,45,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,PHI,45,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,45,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,45,W,39,80,0.488,17,45,0.378,14,21,0.667,7,32,39,24,13,9,20,26,109
Kyle Kuzma,LAL,45,L,9,21,0.429,3,9,0.333,4,5,0.8,3,6,9,0,1,0,4,3,25
Dennis Schroder,LAL,45,L,6,14,0.429,0,1,0,8,9,0.889,0,3,3,11,3,0,6,3,20
Kentavious Caldwell-Pope,LAL,45,L,6,10,0.6,3,5,0.6,4,4,1,0,4,4,3,2,0,1,0,19
Markieff Morris,LAL,45,L,2,3,0.667,1,1,1,0,0,0,0,5,5,0,0,0,1,3,5
Marc Gasol,LAL,45,L,1,2,0.5,1,2,0.5,2,4,0.5,0,2,2,2,0,0,2,1,5
Montrezl Harrell,LAL,45,L,8,13,0.615,0,0,0,4,8,0.5,3,5,8,1,1,0,3,2,20
Wesley Matthews,LAL,45,L,1,3,0.333,1,3,0.333,0,0,0,0,2,2,1,2,0,0,3,3
Talen Horton-Tucker,LAL,45,L,1,6,0.167,0,2,0,1,1,1,0,3,3,2,0,0,0,1,3
Alex Caruso,LAL,45,L,0,4,0,0,1,0,1,2,0.5,1,5,6,2,1,0,3,2,1
Alfonzo McKinnie,LAL,45,L,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Kostas Antetokounmpo,LAL,45,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devontae Cacok,LAL,45,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,LAL,45,L,34,78,0.436,9,26,0.346,24,33,0.727,7,35,42,22,10,0,20,19,101
Tobias Harris,PHI,46,L,13,19,0.684,1,3,0.333,2,2,1,0,7,7,6,0,0,4,2,29
Mike Scott,PHI,46,L,1,6,0.167,1,6,0.167,0,0,0,0,1,1,3,1,0,0,2,3
Danny Green,PHI,46,L,5,10,0.5,5,9,0.556,2,2,1,0,0,0,0,0,0,0,3,17
Seth Curry,PHI,46,L,3,7,0.429,0,2,0,1,1,1,0,2,2,2,1,0,0,3,7
Ben Simmons,PHI,46,L,6,10,0.6,0,0,0,3,5,0.6,1,6,7,2,1,0,6,6,15
Matisse Thybulle,PHI,46,L,2,3,0.667,1,1,1,0,0,0,0,1,1,1,0,2,0,3,5
Shake Milton,PHI,46,L,6,11,0.545,0,1,0,4,5,0.8,2,2,4,1,1,0,3,1,16
Dwight Howard,PHI,46,L,0,1,0,0,0,0,9,14,0.643,4,7,11,1,1,0,2,4,9
Furkan Korkmaz,PHI,46,L,0,4,0,0,2,0,0,0,0,0,2,2,1,0,0,0,1,0
Tyrese Maxey,PHI,46,L,1,3,0.333,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,4
Paul Reed,PHI,46,L,1,2,0.5,0,0,0,0,0,0,1,1,2,0,0,0,1,2,2
Isaiah Joe,PHI,46,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,PHI,46,L,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0,0,0,5
Team Totals,PHI,46,L,39,77,0.506,10,26,0.385,24,33,0.727,8,30,38,17,5,2,16,27,112
Paul George,LAC,46,W,8,18,0.444,1,5,0.2,7,7,1,0,9,9,9,3,1,3,4,24
Kawhi Leonard,LAC,46,W,9,17,0.529,1,5,0.2,9,11,0.818,0,4,4,4,3,0,1,0,28
Marcus Morris,LAC,46,W,5,11,0.455,3,5,0.6,0,0,0,1,2,3,1,0,0,1,2,13
Reggie Jackson,LAC,46,W,5,7,0.714,2,2,1,0,0,0,1,0,1,3,1,0,3,4,12
Ivica Zubac,LAC,46,W,2,7,0.286,0,1,0,3,4,0.75,6,5,11,1,0,2,1,4,7
Nicolas Batum,LAC,46,W,3,6,0.5,1,3,0.333,0,0,0,0,6,6,5,0,0,2,3,7
Terance Mann,LAC,46,W,10,12,0.833,2,2,1,1,3,0.333,0,3,3,1,0,0,0,4,23
Patrick Patterson,LAC,46,W,1,1,1,1,1,1,0,0,0,0,0,0,2,1,0,0,2,3
Luke Kennard,LAC,46,W,1,4,0.25,0,1,0,1,2,0.5,0,0,0,0,0,0,0,1,3
Daniel Oturu,LAC,46,W,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2
Amir Coffey,LAC,46,W,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Patrick Beverley,LAC,46,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,LAC,46,W,45,85,0.529,11,26,0.423,21,27,0.778,9,29,38,26,9,3,12,25,122
Ben Simmons,PHI,47,L,4,7,0.571,0,0,0,3,4,0.75,0,2,2,3,2,0,3,3,11
Tobias Harris,PHI,47,L,6,13,0.462,0,2,0,0,0,0,0,3,3,2,2,2,2,1,12
Seth Curry,PHI,47,L,3,10,0.3,2,7,0.286,0,0,0,0,0,0,1,0,0,2,1,8
Danny Green,PHI,47,L,2,5,0.4,2,5,0.4,2,2,1,0,4,4,3,1,1,0,0,8
Dwight Howard,PHI,47,L,4,7,0.571,0,0,0,2,2,1,3,4,7,1,0,0,0,3,10
Matisse Thybulle,PHI,47,L,3,6,0.5,2,4,0.5,0,0,0,1,3,4,1,1,0,0,0,8
Mike Scott,PHI,47,L,3,7,0.429,3,7,0.429,0,0,0,0,7,7,0,2,1,0,1,9
Shake Milton,PHI,47,L,4,8,0.5,1,2,0.5,1,1,1,0,2,2,4,1,0,4,3,10
Furkan Korkmaz,PHI,47,L,2,7,0.286,0,4,0,2,2,1,0,0,0,2,3,2,0,0,6
Tyrese Maxey,PHI,47,L,4,9,0.444,1,3,0.333,4,4,1,0,2,2,1,0,0,0,1,13
Paul Reed,PHI,47,L,0,2,0,0,0,0,0,0,0,1,1,2,0,2,0,0,4,0
Rayjon Tucker,PHI,47,L,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Isaiah Joe,PHI,47,L,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Team Totals,PHI,47,L,35,82,0.427,11,35,0.314,14,15,0.933,5,29,34,18,14,6,11,18,95
Jamal Murray,DEN,47,W,12,24,0.5,5,11,0.455,1,1,1,2,4,6,4,3,0,0,2,30
Michael Porter,DEN,47,W,11,16,0.688,5,7,0.714,0,2,0,3,9,12,4,1,1,2,3,27
Nikola Jokic,DEN,47,W,8,14,0.571,0,1,0,5,6,0.833,3,7,10,5,0,0,5,1,21
Will Barton,DEN,47,W,0,7,0,0,3,0,4,4,1,1,6,7,6,0,0,1,3,4
Aaron Gordon,DEN,47,W,3,4,0.75,0,0,0,0,0,0,0,4,4,1,1,0,3,2,6
Facundo Campazzo,DEN,47,W,0,5,0,0,5,0,0,0,0,0,2,2,1,2,1,4,2,0
PJ Dozier,DEN,47,W,1,6,0.167,1,3,0.333,0,0,0,0,3,3,2,1,1,1,2,3
Paul Millsap,DEN,47,W,3,4,0.75,1,1,1,3,3,1,0,1,1,0,1,2,1,1,10
JaMychal Green,DEN,47,W,1,1,1,0,0,0,1,1,1,0,6,6,3,0,1,3,0,3
JaVale McGee,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vlatko Cancar,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bol Bol,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Clark,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Howard,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeke Nnaji,DEN,47,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,DEN,47,W,39,81,0.481,12,31,0.387,14,17,0.824,9,42,51,26,9,6,20,16,104
Danny Green,PHI,48,W,3,8,0.375,3,7,0.429,2,3,0.667,3,3,6,2,3,1,1,1,11
Ben Simmons,PHI,48,W,2,11,0.182,0,0,0,1,3,0.333,4,9,13,5,1,0,2,2,5
Seth Curry,PHI,48,W,7,15,0.467,5,10,0.5,0,0,0,1,3,4,4,2,0,0,2,19
Mike Scott,PHI,48,W,1,5,0.2,0,2,0,0,0,0,1,3,4,1,0,0,0,0,2
Tobias Harris,PHI,48,W,4,7,0.571,0,0,0,4,4,1,0,1,1,3,0,1,1,4,12
Shake Milton,PHI,48,W,10,14,0.714,5,7,0.714,2,2,1,1,4,5,4,1,0,1,0,27
Dwight Howard,PHI,48,W,6,7,0.857,0,0,0,6,9,0.667,2,13,15,1,1,2,2,3,18
Matisse Thybulle,PHI,48,W,2,6,0.333,1,4,0.25,0,0,0,0,2,2,0,2,3,0,1,5
Tyrese Maxey,PHI,48,W,2,8,0.25,0,3,0,2,2,1,0,2,2,4,0,1,2,1,6
Furkan Korkmaz,PHI,48,W,2,8,0.25,1,3,0.333,2,2,1,0,1,1,3,1,0,0,2,7
Paul Reed,PHI,48,W,1,3,0.333,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2
Isaiah Joe,PHI,48,W,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rayjon Tucker,PHI,48,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,48,W,40,93,0.43,15,37,0.405,19,25,0.76,12,43,55,27,11,8,9,19,114
Dean Wade,CLE,48,L,6,14,0.429,3,11,0.273,1,1,1,0,8,8,2,1,0,0,3,16
Collin Sexton,CLE,48,L,7,15,0.467,1,4,0.25,9,9,1,1,2,3,3,2,0,3,3,24
Darius Garland,CLE,48,L,3,8,0.375,0,3,0,0,0,0,0,4,4,8,1,0,7,2,6
Isaac Okoro,CLE,48,L,4,4,1,0,0,0,1,3,0.333,0,5,5,1,1,0,1,3,9
Kevin Love,CLE,48,L,4,10,0.4,3,6,0.5,2,2,1,1,3,4,3,0,0,3,1,13
Taurean Prince,CLE,48,L,2,9,0.222,1,4,0.25,1,1,1,0,3,3,2,0,0,2,2,6
Isaiah Hartenstein,CLE,48,L,5,9,0.556,1,1,1,1,3,0.333,0,7,7,1,0,2,0,5,12
Cedi Osman,CLE,48,L,2,4,0.5,1,3,0.333,1,2,0.5,0,1,1,1,0,1,0,1,6
Matthew Dellavedova,CLE,48,L,0,4,0,0,1,0,0,0,0,1,1,2,5,0,0,0,2,0
Lamar Stevens,CLE,48,L,1,2,0.5,0,1,0,0,0,0,1,1,2,0,0,0,1,0,2
Brodric Thomas,CLE,48,L,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0
Dylan Windler,CLE,48,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damyean Dotson,CLE,48,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,CLE,48,L,34,80,0.425,10,35,0.286,16,21,0.762,4,36,40,26,5,3,18,24,94
Seth Curry,PHI,49,W,5,11,0.455,2,5,0.4,1,1,1,0,1,1,5,0,0,0,0,13
Ben Simmons,PHI,49,W,5,9,0.556,0,0,0,4,6,0.667,1,7,8,6,2,0,1,2,14
Tobias Harris,PHI,49,W,13,17,0.765,2,3,0.667,4,4,1,0,5,5,4,1,1,2,4,32
Joel Embiid,PHI,49,W,6,14,0.429,0,4,0,12,17,0.706,4,4,8,2,0,3,4,3,24
Danny Green,PHI,49,W,3,6,0.5,3,6,0.5,0,0,0,0,6,6,3,0,1,0,3,9
Shake Milton,PHI,49,W,5,12,0.417,2,4,0.5,2,2,1,1,1,2,3,2,0,1,3,14
Dwight Howard,PHI,49,W,1,1,1,0,0,0,5,7,0.714,1,5,6,0,1,1,1,5,7
Matisse Thybulle,PHI,49,W,0,2,0,0,0,0,0,0,0,0,2,2,1,1,1,2,1,0
Mike Scott,PHI,49,W,1,3,0.333,1,2,0.5,0,0,0,1,3,4,0,0,0,0,2,3
Furkan Korkmaz,PHI,49,W,2,6,0.333,2,4,0.5,0,0,0,0,0,0,2,0,0,1,1,6
Paul Reed,PHI,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,PHI,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrese Maxey,PHI,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignas Brazdeikis,PHI,49,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,49,W,41,81,0.506,12,28,0.429,28,37,0.757,8,34,42,26,7,7,12,24,122
Karl-Anthony Towns,MIN,49,L,11,23,0.478,4,12,0.333,13,14,0.929,2,12,14,5,1,1,2,6,39
Jordan McLaughlin,MIN,49,L,4,9,0.444,1,4,0.25,3,4,0.75,0,6,6,9,3,0,2,0,12
Anthony Edwards,MIN,49,L,10,23,0.435,3,7,0.429,4,4,1,1,0,1,1,1,0,4,1,27
Jaden McDaniels,MIN,49,L,4,10,0.4,2,6,0.333,4,4,1,2,6,8,1,1,2,0,4,14
Josh Okogie,MIN,49,L,0,1,0,0,0,0,3,4,0.75,1,1,2,0,0,1,0,3,3
Jake Layman,MIN,49,L,3,5,0.6,0,1,0,0,2,0,0,0,0,0,1,0,0,2,6
Naz Reid,MIN,49,L,1,3,0.333,1,3,0.333,2,2,1,0,3,3,0,0,1,0,5,5
Jarrett Culve,MIN,49,L,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,2,3
Jaylen Nowell,MIN,49,L,1,3,0.333,0,2,0,2,2,1,0,1,1,1,0,0,0,0,4
Jarred Vanderbilt,MIN,49,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Juan Hernangomez,MIN,49,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Davis,MIN,49,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,MIN,49,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,MIN,49,L,35,78,0.449,12,36,0.333,31,36,0.861,6,30,36,17,7,5,9,24,113
Tobias Harris,PHI,50,L,8,14,0.571,0,3,0,5,6,0.833,2,6,8,3,0,1,2,2,21
Ben Simmons,PHI,50,L,2,6,0.333,0,0,0,3,6,0.5,1,6,7,4,1,1,1,3,7
Seth Curry,PHI,50,L,1,6,0.167,1,5,0.2,0,2,0,0,2,2,1,0,0,1,1,3
Danny Green,PHI,50,L,2,7,0.286,2,6,0.333,0,0,0,1,2,3,1,0,2,0,0,6
Mike Scott,PHI,50,L,3,10,0.3,3,7,0.429,0,0,0,0,3,3,1,1,0,1,4,9
Dwight Howard,PHI,50,L,4,6,0.667,0,0,0,1,2,0.5,6,6,12,3,0,1,2,3,9
Shake Milton,PHI,50,L,5,11,0.455,0,2,0,4,4,1,1,0,1,1,0,0,1,0,14
Matisse Thybulle,PHI,50,L,1,3,0.333,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2
Furkan Korkmaz,PHI,50,L,2,7,0.286,1,3,0.333,0,1,0,0,2,2,3,1,0,1,1,5
Paul Reed,PHI,50,L,5,7,0.714,0,1,0,0,1,0,2,4,6,2,1,1,1,1,10
Isaiah Joe,PHI,50,L,1,3,0.333,1,3,0.333,3,4,0.75,0,0,0,2,0,0,0,2,6
Rayjon Tucker,PHI,50,L,0,3,0,0,1,0,2,2,1,1,1,2,0,0,0,0,1,2
Mason Jones,PHI,50,L,3,3,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,6
Ignas Brazdeikis,PHI,50,L,0,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0
Tyrese Maxey,PHI,50,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,50,L,37,89,0.416,8,34,0.235,18,28,0.643,16,34,50,23,4,6,10,19,100
Ja Morant,MEM,50,W,3,8,0.375,1,2,0.5,1,2,0.5,2,3,5,10,1,0,2,1,8
Grayson Allen,MEM,50,W,5,14,0.357,4,13,0.308,1,1,1,1,4,5,2,2,2,2,2,15
Dillon Brooks,MEM,50,W,6,9,0.667,2,2,1,3,4,0.75,0,5,5,3,0,1,2,1,17
Jonas Valancunas,MEM,50,W,8,11,0.727,0,1,0,0,0,0,5,7,12,1,0,0,1,2,16
Kyle Anderson,MEM,50,W,3,9,0.333,1,3,0.333,3,4,0.75,0,6,6,2,2,3,1,2,10
Desmond Bane,MEM,50,W,5,11,0.455,3,6,0.5,1,1,1,1,5,6,1,0,0,0,3,14
Brandon Clarke,MEM,50,W,6,10,0.6,0,0,0,3,3,1,1,1,2,2,0,1,1,3,15
Xavier Tillman,MEM,50,W,1,3,0.333,0,2,0,0,0,0,0,3,3,1,1,2,0,5,2
Tyus Jones,MEM,50,W,2,6,0.333,1,3,0.333,0,0,0,0,2,2,5,0,0,1,0,5
De'Anthony Melton,MEM,50,W,5,8,0.625,4,6,0.667,0,0,0,0,3,3,3,0,1,1,2,14
John Konchar,MEM,50,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Sean McDermott,MEM,50,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killian Tillie,MEM,50,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jontay Porter,MEM,50,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,MEM,50,W,44,89,0.494,16,38,0.421,12,15,0.8,10,39,49,30,6,10,12,23,116
Ben Simmons,PHI,51,W,4,7,0.571,0,0,0,4,8,0.5,0,4,4,6,3,0,2,2,12
Tobias Harris,PHI,51,W,4,11,0.364,0,0,0,2,3,0.667,2,6,8,4,2,1,2,2,10
Joel Embiid,PHI,51,W,9,19,0.474,1,5,0.2,16,20,0.8,3,3,6,1,0,1,4,1,35
Seth Curry,PHI,51,W,4,9,0.444,1,5,0.2,0,0,0,0,1,1,2,1,0,0,3,9
Danny Green,PHI,51,W,6,7,0.857,5,6,0.833,0,0,0,0,2,2,1,2,0,1,3,17
Matisse Thybulle,PHI,51,W,1,2,0.5,1,2,0.5,0,0,0,0,2,2,1,1,1,0,1,3
Shake Milton,PHI,51,W,3,8,0.375,0,1,0,0,0,0,1,2,3,0,0,0,2,3,6
Dwight Howard,PHI,51,W,0,1,0,0,1,0,4,4,1,2,7,9,0,1,0,1,3,4
Furkan Korkmaz,PHI,51,W,3,7,0.429,1,4,0.25,3,4,0.75,1,2,3,0,1,0,1,0,10
Mike Scott,PHI,51,W,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tyrese Maxey,PHI,51,W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paul Reed,PHI,51,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ignas Brazdeikis,PHI,51,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Joe,PHI,51,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayjon Tucker,PHI,51,W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Totals,PHI,51,W,34,73,0.466,9,24,0.375,29,39,0.744,9,29,38,16,11,4,13,20,106
Marcus Smart,BOS,51,L,4,9,0.444,1,3,0.333,5,7,0.714,0,1,1,3,1,1,6,1,14
Kemba Walker,BOS,51,L,6,14,0.429,2,5,0.4,0,0,0,0,3,3,6,0,0,1,1,14
Jayson Tatum,BOS,51,L,7,17,0.412,3,10,0.3,3,3,1,0,4,4,4,1,0,3,1,20
Jaylen Brown,BOS,51,L,6,10,0.6,3,7,0.429,2,2,1,0,3,3,0,0,1,3,4,17
Robert Williams,BOS,51,L,2,2,1,0,0,0,0,0,0,2,7,9,1,0,1,3,6,4
Grant Williams,BOS,51,L,1,3,0.333,1,2,0.5,0,0,0,0,2,2,0,0,0,2,2,3
Luke Kornet,BOS,51,L,2,5,0.4,2,3,0.667,0,0,0,0,3,3,1,0,3,0,1,6
Romeo Langford,BOS,51,L,1,3,0.333,0,1,0,0,0,0,0,1,1,1,1,0,1,0,2
Semi Ojeleye,BOS,51,L,0,1,0,0,0,0,2,2,1,0,1,1,1,0,0,0,4,2
Tacko Fall,BOS,51,L,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2
Payton Pritchard,BOS,51,L,2,3,0.667,2,3,0.667,0,0,0,1,0,1,0,1,0,1,1,6
Moritz Wagner,BOS,51,L,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0
Tremont Waters,BOS,51,L,0,0,0,0,0,0,4,4,1,0,1,1,0,0,0,0,0,4
Aaron Nesmith,BOS,51,L,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
